Wall time,Step,Value
1500388000.1713881,780,0.84375
1500388001.4351485,784,0.671875
1500388001.7518265,785,0.7421875
1500388002.3848767,787,0.78125
1500388003.0234041,789,0.7265625
1500388003.9788232,792,0.6875
1500388004.2927341,793,0.7109375
1500388004.610131,794,0.6953125
1500388004.9314513,795,0.671875
1500388005.9216888,798,0.6875
1500388007.1881287,802,0.765625
1500388008.7857397,807,0.6953125
1500388009.1018584,808,0.75
1500388009.423663,809,0.7734375
1500388011.339115,815,0.78125
1500388016.9187424,832,0.828125
1500388018.2181604,836,0.7421875
1500388018.8622558,838,0.7265625
1500388020.489042,843,0.7578125
1500388032.292556,867,0.7578125
1500388032.9441347,869,0.7578125
1500388034.5966918,874,0.6640625
1500388035.2691786,876,0.7421875
1500388036.6208484,880,0.671875
1500388037.282915,882,0.7734375
1500388039.910229,890,0.7578125
1500388041.8869128,896,0.703125
1500388043.2036824,900,0.71875
1500388045.624435,907,0.828125
1500388046.300389,909,0.7421875
1500388048.3939362,915,0.7890625
1500388049.10552,917,0.6328125
1500388050.1276722,920,0.671875
1500388051.1350453,923,0.6640625
1500388053.984115,931,0.7578125
1500388054.3292003,932,0.71875
1500388055.3641417,935,0.71875
1500388057.7565317,942,0.8203125
1500388058.76874,945,0.796875
1500388061.7585545,954,0.765625
1500388063.0925815,958,0.7265625
1500388064.0966914,961,0.6875
1500388064.4317281,962,0.7109375
1500388067.4467053,971,0.7890625
1500388067.7826023,972,0.734375
1500388069.137045,976,0.7265625
1500388069.8028994,978,0.7734375
1500388070.1374319,979,0.765625
1500388071.480825,983,0.7265625
1500388071.814913,984,0.78125
1500388072.828949,987,0.796875
1500388073.1663465,988,0.71875
1500388075.9945369,996,0.71875
1500388077.3835857,1000,0.7734375
1500388078.1272304,1002,0.796875
1500388078.8872786,1004,0.796875
1500388079.2238288,1005,0.7421875
1500388086.0112872,1014,0.7578125
1500388087.119162,1017,0.7421875
1500388089.9010668,1025,0.7890625
1500388090.5812097,1027,0.828125
1500388092.3258743,1032,0.7578125
1500388094.034901,1037,0.7265625
1500388096.4413235,1044,0.703125
1500388100.882115,1057,0.671875
1500388102.9490988,1063,0.703125
1500388103.9805672,1066,0.6796875
1500388104.6750054,1068,0.8125
1500388106.2356563,1072,0.8125
1500388107.648233,1076,0.828125
1500388108.3705306,1078,0.7421875
1500388110.143916,1083,0.7265625
1500388110.487857,1084,0.7890625
1500388110.8395262,1085,0.7109375
1500388113.661896,1093,0.6484375
1500388115.9391797,1099,0.7421875
1500388117.3309357,1103,0.671875
1500388117.6822386,1104,0.6953125
1500388121.1802847,1114,0.796875
1500388123.0014615,1119,0.71875
1500388128.096746,1133,0.671875
1500388128.7982416,1135,0.7421875
1500388136.0223732,1155,0.6875
1500388136.4301822,1156,0.796875
1500388137.906884,1160,0.765625
1500388138.266629,1161,0.6796875
1500388138.623798,1162,0.828125
1500388145.101734,1180,0.796875
1500388150.724702,1185,0.7421875
1500388153.2113094,1192,0.7578125
1500388153.5677745,1193,0.7578125
1500388155.7133706,1199,0.7421875
1500388156.4255042,1201,0.7578125
1500388158.2777636,1206,0.7265625
1500388159.0068314,1208,0.7109375
1500388167.9400098,1232,0.703125
1500388168.7067542,1234,0.703125
1500388169.4402082,1236,0.671875
1500388172.3479881,1244,0.734375
1500388173.4348238,1247,0.734375
1500388176.6762373,1255,0.625
1500388177.7559135,1258,0.65625
1500388178.8534622,1261,0.65625
1500388183.5720234,1274,0.7578125
1500388186.1247244,1281,0.71875
1500388188.3156044,1287,0.828125
1500388190.4981585,1293,0.8125
1500388190.8605165,1294,0.796875
1500388193.0542514,1300,0.71875
1500388196.8579714,1310,0.734375
1500388198.7219324,1315,0.7578125
1500388199.090103,1316,0.78125
1500388200.1998088,1319,0.7890625
1500388202.4444518,1325,0.7109375
1500388203.187898,1327,0.703125
1500388204.2927287,1330,0.5703125
1500388205.4046881,1333,0.734375
1500388206.564475,1336,0.734375
1500388207.0195322,1337,0.765625
1500388217.4150195,1355,0.71875
1500388223.00674,1370,0.78125
1500388228.7827706,1385,0.734375
1500388230.0384254,1388,0.7265625
1500388230.4737585,1389,0.7734375
1500388231.2548237,1391,0.7734375
1500388231.6466289,1392,0.7421875
1500388239.9658813,1413,0.7421875
1500388240.3499694,1414,0.8203125
1500388242.2558105,1419,0.7890625
1500388243.3946824,1422,0.7734375
1500388244.9168189,1426,0.7109375
1500388245.7026055,1428,0.7578125
1500388247.2984827,1432,0.7421875
1500388248.9117408,1436,0.78125
1500388250.4569662,1440,0.734375
1500388260.3267007,1465,0.734375
1500388260.709402,1466,0.8203125
1500388264.976225,1477,0.7890625
1500388268.1881702,1485,0.7421875
1500388268.5760593,1486,0.7578125
1500388269.7253506,1489,0.7265625
1500388270.498785,1491,0.765625
1500388270.8789861,1492,0.765625
1500388274.494081,1501,0.75
1500388277.2316082,1508,0.8125
1500388286.827957,1523,0.765625
1500388287.2230525,1524,0.765625
1500388288.5843198,1527,0.7109375
1500388298.0806425,1546,0.7578125
